"","Date","Site","type","Distance","Replicate","time.out","time.collected","c.vert.n.flowers","c.vert.n.high.pigment","c.vert.n.low.pigment","m.fist.n.flowers","m.fist.n.inflorescences","m.fist.n.pigment.high","m.fist.inflor.pigment.high","m.fist.n.pigment.low","m.fist.inflor.pigment.low","m.fist.inflor.pig"
"1",2020-07-11,"Matthaei","meadow",0,"a",1899-12-31 10:00:00,1899-12-31 18:15:00,19,NA,NA,68,9,NA,NA,NA,NA,NA
"2",2020-07-11,"Matthaei","meadow",5,"a",1899-12-31 10:00:00,1899-12-31 18:15:00,35,11,22,242,18,28,5,10,3,5
"3",2020-07-11,"Matthaei","meadow",15,"a",1899-12-31 10:00:00,1899-12-31 18:15:00,26,0,2,320,36,0,0,4,3,3
"4",2020-07-11,"Matthaei","meadow",25,"a",1899-12-31 10:00:00,1899-12-31 18:15:00,17,0,2,391,47,0,0,4,4,4
"5",2020-07-11,"Matthaei","meadow",35,"a",1899-12-31 10:00:00,1899-12-31 18:15:00,13,0,0,317,26,0,0,1,1,1
"6",2020-07-11,"Matthaei","lawn",0,"b",1899-12-31 10:00:00,1899-12-31 18:15:00,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-07-11,"Matthaei","lawn",5,"b",1899-12-31 10:00:00,1899-12-31 18:15:00,9,0,0,85,11,12,3,8,4,4
"8",2020-07-11,"Matthaei","lawn",15,"b",1899-12-31 10:00:00,1899-12-31 18:15:00,30,0,0,364,25,12,5,6,6,6
"9",2020-07-11,"Matthaei","lawn",25,"b",1899-12-31 10:00:00,1899-12-31 18:15:00,20,0,0,162,24,0,0,3,2,2
"10",2020-07-11,"Matthaei","lawn",35,"b",1899-12-31 10:00:00,1899-12-31 18:15:00,13,0,0,74,6,0,0,0,0,0
"11",2020-07-18,"Leslie","lawn",0,"c",1899-12-31 09:30:00,1899-12-31 17:30:00,19,NA,NA,406,27,NA,NA,NA,NA,NA
"12",2020-07-18,"Leslie","lawn",5,"c",1899-12-31 09:30:00,1899-12-31 17:30:00,7,1,1,181,16,21,11,54,10,11
"13",2020-07-18,"Leslie","lawn",15,"c",1899-12-31 09:30:00,1899-12-31 17:30:00,17,0,3,570,56,0,0,4,1,1
"14",2020-07-18,"Leslie","lawn",25,"c",1899-12-31 09:30:00,1899-12-31 17:30:00,15,0,0,318,33,0,0,10,4,4
"15",2020-07-18,"Leslie","lawn",35,"c",1899-12-31 09:30:00,1899-12-31 17:30:00,23,1,1,263,20,0,0,6,1,1
"16",2020-07-28,"Leslie Park lawn","lawn",0,"d",1899-12-31 09:17:00,1899-12-31 17:28:00,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2020-07-28,"Leslie Park lawn","lawn",5,"d",1899-12-31 09:17:00,1899-12-31 17:28:00,7,0,1,NA,NA,NA,NA,NA,NA,NA
"18",2020-07-28,"Leslie Park lawn","lawn",15,"d",1899-12-31 09:17:00,1899-12-31 17:28:00,8,0,0,NA,NA,NA,NA,NA,NA,NA
"19",2020-07-28,"Leslie Park lawn","lawn",25,"d",1899-12-31 09:17:00,1899-12-31 17:28:00,6,0,0,NA,NA,NA,NA,NA,NA,NA
"20",2020-07-28,"Leslie Park lawn","lawn",35,"d",1899-12-31 09:17:00,1899-12-31 17:28:00,7,0,0,NA,NA,NA,NA,NA,NA,NA
"21",2020-07-28,"Olson Park","meadow",0,"e",1899-12-31 09:03:00,1899-12-31 17:13:00,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2020-07-28,"Olson Park","meadow",5,"e",1899-12-31 09:03:00,1899-12-31 17:13:00,9,0,0,NA,NA,NA,NA,NA,NA,NA
"23",2020-07-28,"Olson Park","meadow",15,"e",1899-12-31 09:03:00,1899-12-31 17:13:00,14,0,0,NA,NA,NA,NA,NA,NA,NA
"24",2020-07-28,"Olson Park","meadow",25,"e",1899-12-31 09:03:00,1899-12-31 17:13:00,8,0,0,NA,NA,NA,NA,NA,NA,NA
"25",2020-07-28,"Olson Park","meadow",35,"e",1899-12-31 09:03:00,1899-12-31 17:13:00,11,0,0,NA,NA,NA,NA,NA,NA,NA
"26",2020-07-29,"Maryfield Park","lawn",0,"f",1899-12-31 09:17:00,1899-12-31 17:03:00,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2020-07-29,"Maryfield Park","lawn",5,"f",1899-12-31 09:17:00,1899-12-31 17:03:00,12,0,0,NA,NA,NA,NA,NA,NA,NA
"28",2020-07-29,"Maryfield Park","lawn",15,"f",1899-12-31 09:17:00,1899-12-31 17:03:00,14,0,0,NA,NA,NA,NA,NA,NA,NA
"29",2020-07-29,"Maryfield Park","lawn",25,"f",1899-12-31 09:17:00,1899-12-31 17:03:00,9,0,0,NA,NA,NA,NA,NA,NA,NA
"30",2020-07-29,"Maryfield Park","lawn",35,"f",1899-12-31 09:17:00,1899-12-31 17:03:00,7,0,0,NA,NA,NA,NA,NA,NA,NA
"31",2020-07-30,"Kuebler-Langford","meadow",0,"g",1899-12-31 09:12:00,1899-12-31 17:28:00,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2020-07-30,"Kuebler-Langford","meadow",5,"g",1899-12-31 09:12:00,1899-12-31 17:28:00,8,7,1,NA,NA,NA,NA,NA,NA,NA
"33",2020-07-30,"Kuebler-Langford","meadow",15,"g",1899-12-31 09:12:00,1899-12-31 17:28:00,11,0,1,NA,NA,NA,NA,NA,NA,NA
"34",2020-07-30,"Kuebler-Langford","meadow",25,"g",1899-12-31 09:12:00,1899-12-31 17:28:00,12,4,6,NA,NA,NA,NA,NA,NA,NA
"35",2020-07-30,"Kuebler-Langford","meadow",35,"g",1899-12-31 09:12:00,1899-12-31 17:28:00,8,0,0,NA,NA,NA,NA,NA,NA,NA
