"","...1","...2","...3","...4","Roadside vegetation","...6","...7","...8"
"1","site","lane","position","seminatural","weed","lawn","flowering bed","flowers"
"2","Leslie SNC meadow","trail","along","1","1",NA,NA,"1"
"3","Leslie Park north","trail","along","1","1",NA,NA,"1"
"4","Leslie Trail W of Pontiac","trail","along","1","1",NA,NA,"1"
"5","Arb prairie","trail","along","1",NA,NA,NA,"1"
"6","Gallup w of wooden bridge","bike path","along","0",NA,"1",NA,"0"
"7","Fuller Park","bike path","along","0",NA,"1",NA,"0"
"8","Matthaei bike path","bike path","along","1",NA,"1",NA,"1"
"9","Parker Mill","bike path","along","1",NA,NA,NA,"1"
"10","Riverside Park","bike path","along","0",NA,"1",NA,"0"
"11","Wurster Park","bike path","along","0","1","1",NA,"1"
"12","Oswego St","1","along","0","1","1","1","1"
"13","Spring St","1","along","0",NA,NA,NA,"0"
"14","Taylor at Peach","1","along","0",NA,"1",NA,"0"
"15","Maryfield dr","1","along","0",NA,"1",NA,"0"
"16","Wright at Kellogg","1","along","0",NA,NA,NA,"0"
"17","1120 Olden rd","1","along","0","1","1","1","1"
"18","Traver","1","along","1","1",NA,NA,"1"
"19","Broadway at AA Reformed Church","2","along","0","1",NA,NA,"1"
"20","Seventh St. at Jefferson","2","along","0",NA,"1",NA,"0"
"21","W. liberty at Zion Lutheran","2","along","0",NA,"1",NA,"0"
"22","Dhu Varren at Food Gatherers","2","along","0","1","1",NA,"1"
"23","1213 Miller Ave","2","along","0",NA,"1",NA,"0"
"24","Geddes at Gallup entrance","2","along","0","1","1",NA,"1"
"25","Nixon at Green Things","2","along","1","1",NA,NA,"1"
"26","Whitmore Lk at Stein","2","along","0","1","1",NA,"1"
"27","Jackson Ave at Veteran's park","3","along","0",NA,"1",NA,"0"
"28","Fuller Rd at Furstenburg Park","3","along","0",NA,"1",NA,"0"
"29","Dixboro at Gardenview Dr","3","along","0",NA,"1",NA,"0"
"30","Huron Pkwy at Traverwood","3","along","0",NA,NA,"1","1"
"31","Earhart at Gross","3","along","1",NA,"1",NA,"1"
"32","N. Maple","3","along","0","1",NA,NA,"1"
"33","Huron Pkwy at E Huron R Dr","4","along","0",NA,"1",NA,"0"
"34","W. Huron St. and Eigth St.","4","along","0",NA,"1",NA,"0"
"35","Glen Ave","4","along","0","1",NA,NA,"1"
"36","Washtenaw at church","4","along","0",NA,"1",NA,"0"
"37","Washtenaw at Tuomy","4","along","0",NA,"1",NA,"0"
"38","North Main at FFN","4","along","0",NA,NA,"1","1"
"39","Fuller at VA","5","along","1",NA,"1",NA,"1"
"40","Plymouth at Nixon","5","along","0",NA,"1",NA,"0"
"41","E. Stadium at St. Francis Church","5","along","0",NA,"1",NA,"0"
"42","Plymouth at water tower","6","along","1",NA,"1",NA,"1"
"43","Leslie SNC meadow",NA,"across","1","1",NA,NA,"1"
"44","Leslie Park north","trail","across","1","1",NA,NA,"1"
"45","Leslie Trail W of Pontiac","trail","across","1","1",NA,NA,"1"
"46","Arb prairie","trail","across","1",NA,NA,NA,"1"
"47","Gallup w of wooden bridge","bike path","across","0",NA,"1",NA,"0"
"48","Fuller Park","bike path","across","0",NA,"1",NA,"0"
"49","Matthaei bike path","bike path","across","1",NA,"1",NA,"1"
"50","Parker Mill","bike path","across","1",NA,NA,NA,"1"
"51","Riverside Park","bike path","across","0",NA,"1",NA,"0"
"52","Wurster Park","bike path","across","0",NA,"1",NA,"0"
"53","Oswego St","1","across","0",NA,"1","1","1"
"54","Spring St","1","across","0",NA,"1",NA,"0"
"55","Taylor at Peach","1","across","0",NA,"1","1","1"
"56","Maryfield dr","1","across","0",NA,"1",NA,"0"
"57","Wright at Kellogg","1","across","0",NA,"1",NA,"0"
"58","1120 Olden rd","1","across","0",NA,"1",NA,"0"
"59","Traver","1","across","1","1",NA,NA,"1"
"60","Broadway at AA Reformed Church","2","across","0",NA,"1",NA,"0"
"61","Seventh St. at Jefferson","2","across","0","1",NA,NA,"1"
"62","W. liberty at Zion Lutheran","2","across","0",NA,"1",NA,"0"
"63","Dhu Varren at Food Gatherers","2","across","0","1","1",NA,"1"
"64","1213 Miller Ave","2","across","0",NA,"1",NA,"0"
"65","Geddes at Gallup entrance","2","across","0","1",NA,NA,"1"
"66","Nixon at Green Things","2","across","1","1",NA,NA,"1"
"67","Whitmore Lk at Stein","2","across","0","1",NA,NA,"1"
"68","Jackson Ave at Veteran's park","3","across","0",NA,"1",NA,"0"
"69","Fuller Rd at Furstenburg Park","3","across","0",NA,"1",NA,"0"
"70","Dixboro at Gardenview Dr","3","across","1","1",NA,NA,"1"
"71","Huron Pkwy at Traverwood","3","across","0",NA,"1",NA,"0"
"72","Earhart at Gross","3","across","1",NA,"1",NA,"1"
"73","N. Maple","3","across","0",NA,"1",NA,"0"
"74","Huron Pkwy at E Huron R Dr","4","across","0",NA,"1",NA,"0"
"75","W. Huron St. and Eigth St.","4","across","0",NA,"1",NA,"0"
"76","Glen Ave","4","across","0",NA,"1",NA,"0"
"77","Washtenaw at church","4","across","0",NA,"1",NA,"0"
"78","Washtenaw at Tuomy","4","across","0",NA,"1",NA,"0"
"79","North Main at FFN","4","across","0",NA,"1",NA,"0"
"80","Fuller at VA","5","across","0",NA,"1","1","1"
"81","Plymouth at Nixon","5","across","0",NA,"1",NA,"0"
"82","E. Stadium at St. Francis Church","5","across","0",NA,"1",NA,"0"
"83","Plymouth at water tower","6","across","0",NA,"1","1","1"
"84","Taylor sidewalk","sidewalk","across","0",NA,"1",NA,"0"
"85","Taylor sidewalk","sidewalk","along","0",NA,"1",NA,"0"
"86","E. Kingsley sidewalk","sidewalk","along","0","1","1",NA,"1"
"87","Maryfield sidewalk","sidewalk","along","0",NA,NA,"1","1"
"88","1211 Wright sidewalk","sidewalk","along","0",NA,"1",NA,"0"
"89","E. Kingsley sidewalk","sidewalk","across","0",NA,"1",NA,"0"
"90","Maryfield sidewalk","sidewalk","across","0",NA,"1",NA,"0"
"91","1211 Wright sidewalk","sidewalk","across","0",NA,"1",NA,"0"
